H,O0601,051,646762,"Jan 21 2026 01:11 PM ",01/22/2026,N,," ",03178625,03178625,705.73,20,DELIVERED
F,SUPC,"Case Qty","Split Qty","Cust #",Pack/Size,Brand,Description,"Mfr #","Per Lb","Case $","Each $"
P,5398953,1,0,,"6/5 LB","SYS CLS","Milk Dry Non Fat Instant Granulated",,N,121.95,
P,0801730,2,0,,"1/50 LB","KING A","Flour All Purpose Sir Galahad",,N,27.69,
P,4684250,1,0,,"1/50 LB","SYS REL","Shortening All Purpose Cube Vegetable",,N,75.59,
P,1854918,1,0,,"1/50 LB","SYS CLS","Sugar Confectioner 6x Cane",,N,53.65,
P,5087572,1,0,,1/25LB,"SYS CLS","Sugar Granulated Extra Fine Cane",,N,26.45,
P,5807662,1,0,,2/5LB,"BCH BLK","Pork Ground 80%-20% Fine",,N,30.69,
P,7238954,1,0,,"12/32 FOZ",SMPLYPB,"Milk Almond Barista",,N,37.01,
P,7237699,3,0,,"12/32 OZ",OATLY,"Milk Oat Barista",,N,36.82,
P,2105823,1,0,,"1/15 DZ",WHLFCLS,"Egg Shell Large Grade Aa Usda White",,N,18.49,
P,7192819,1,0,,"24/8 OZ",WHLFCLS,"Milk Chocolate 1% Bottle Extended Shelf Life",,N,24.49,
P,7595572,3,0,,"4/1 GAL",GALIKRS,"Milk Homogenized Vitamin D",,N,20.99,
P,7192820,1,0,,"24/8 OZ",WHLFCLS,"Milk Skim Bottle Extended Shelf Life",,N,24.45,
P,1102724,1,0,,"24/355 ML",COCACOL,"Soda Mexican Coke Glass Bottle Non Returnable",,N,50.21,
P,9901029,1,0,,40/16.9OZ,NIAGARA,"Water Bottled Drinking",,N,7.99,
P,9407792,0,1,,20/1LB,LESAFRE,"Yeast Instant Dry",,N,MARKET,5.95
