"H","L0601","051","646762","Purchase History","2",,,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2105823",,,,,,"1","15 DZ","DZ","WHOLESOME FARMS CLASSIC","31L2SW","Egg Shell Large Grade Aa Usda White","Dairy",18.95,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","0801730",,,,,,"1","50 LB","LB","KING ARTHUR (S&E)","12050","Flour All Purpose Sir Galahad","Canned & Dry",27.69,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","7238954",,,,,,"12","32 FOZ","FOZ","SYSCO SIMPLY PLANT BASED","12968","Milk Almond Barista","Dairy",37.01,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","7192819",,,,,,"24","8 OZ","OZ","WHOLESOME FARMS CLASSIC","1016243","Milk Chocolate 1% Bottle Extended Shelf Life","Dairy",24.49,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","5398953",,,,,,"6","5 LB","LB","SYSCO CLASSIC","9G927205410","Milk Dry Non Fat Instant Granulated","Canned & Dry",121.95,,"N",,false,,0,29.425,,"STOCKED",,"N",,
"P","7595572",,,,,,"4","1 GAL","GAL","GALLIKER'S","700","Milk Homogenized Vitamin D","Dairy",20.99,,"N",,false,,0,34,,"STOCKED",,"N",,
"P","7237699",,,,,,"12","32 OZ","OZ","OATLY (DAIRY/MILK)","63032","Milk Oat Barista","Dairy",37.89,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","7192820",,,,,,"24","8 OZ","OZ","WHOLESOME FARMS CLASSIC","1016245","Milk Skim Bottle Extended Shelf Life","Dairy",24.45,,"N",,false,,0,13.05,,"STOCKED",,"N",,
"P","5807662",,,,,,"2","5LB","LB","BUTCHERS BLOCK","5807662","Pork Ground 80%-20% Fine","Meats",30.69,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","4684250",,,,,,"1","50 LB","LB","SYSCO RELIANCE","110032721","Shortening All Purpose Cube Vegetable","Canned & Dry",75.59,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1102724",,,,,,"24","355 ML","ML","COCA COLA","60250","Soda Mexican Coke Glass Bottle Non Returnable","Canned & Dry",56.99,,"N",,false,,0,18,,"STOCKED",,"N",,
"P","1854918",,,,,,"1","50 LB","LB","SYSCO CLASSIC","404350","Sugar Confectioner 6x Cane","Canned & Dry",53.65,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","5087572",,,,,,"1","25LB","LB","SYSCO CLASSIC","401490","Sugar Granulated Extra Fine Cane","Canned & Dry",26.45,,"N",,false,,0,24.55,,"STOCKED",,"N",,
"P","9901029",,,,,,"40","16.9OZ","OZ","NIAGARA (BEV)","NDW05L40PDR","Water Bottled Drinking","Canned & Dry",7.99,,"N",,false,,0,45.6,,"STOCKED",,"N",,
"P","9407792",,,,,,"20","1LB","LB","LE SAFFRE (YEAST)","100013039","Yeast Instant Dry","Canned & Dry",104.75,5.95,"N",,true,,1,20,,"STOCKED",,"N",,
"P","4230090",,,,,,"1","10 LB","LB","KUNZLER","02606","Bacon Slab Sliced 16-18 Per #","Meats",48.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6189849",,,,,,"1","30 LB","LB","SYSCO CLASSIC","6189849","Cherry Red Tart Pitted 5:1","Frozen",54.36,,"N",,false,,0,30,,"STOCKED",,"N",,
